book,short_title
The Judgment and Justice of God Exemplified,Judgment and Justice
Biographia Scoticana,Biographia Scoticana
Letters,Letters
Life Review'd: A Poem,Life Review'd
The Most Agreeable Companion,Agreeable Companion
The New British Traveller,New British Traveller
The Epigrams of M. Val. Martial,Martial's Epigrams
A Body of Practical Divinity,Practical Divinity
The New and Universal System of Geography,New & Universal Geography
Humorous Sketches,Humorous Sketches
The Miscellaneous Poetic Attempts of Christopher Jones,Poetic Attempts
The Works of the Right Reverend Thomas Wilson,Works
Two Dissertations,Two Dissertations
Poems on Various Occasions,Poems
Description of the East Coast of Scotland,Description of Scotland
Dissertation on the Foederal Transactions,Foederal Transactions
A Miscellany of Rhimes,Miscellany of Rhimes
A Portable Military Library,Portable Military Library
The History of the Shire of Renfrew,Shire of Renfrew
Afalau aur i bobl ifeingc,Afalau aur i bobl ifeingc
Fourteen Sermons on Various Subjects,Fourteen Sermons
Flora's Banquet: A Collection of Poems,Flora's Banquet
An Entrance into the Sacred Language,Sacred Language
History of the Old and New Testament,History
Remarks on Mr. Rousseau's Emilius,Remarks on Rousseau
Select Sermons of the Late Reverend Mr. Matthew Henry,Sermons
The Doctrine of Eclipses,Doctrine of Eclipses
"Ethics, Rational and Theological",Ethics
Mathematical Principles,Mathematical Principles
The Miscellaneous Works,Miscellaneous Works
The Elements of Military Arrangement,Military Arrangement
L'ami des Enfans,L'ami des Enfans
Omar and Zemira: An Eastern Tale,Omar and Zemira
The Extraordinary Life of Margaret Davidson,Extraordinary Life
The First Book of Fontenoy: A Poem,Fontenoy: A Poem
