group_id,match,entry_id,person_id,title_key,title_holder,normalized_name,listed as,book,edition,year,match_tier
tt_0006,,Equiano-Interesting-4-0097,Equiano-Interesting-4-0097,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,4,1791,title_same
tt_0006,,Equiano-Interesting-4-0100,Equiano-Interesting-4-0100,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,4,1791,title_same
tt_0006,,Equiano-Interesting-5-0243,Equiano-Interesting-5-0243,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,5,1792,title_same
tt_0006,,Equiano-Interesting-6-0516,Equiano-Interesting-6-0516,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,6,1793,title_same
tt_0006,,Equiano-Interesting-7-0531,Equiano-Interesting-7-0531,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,7,1793,title_same
tt_0006,,Equiano-Interesting-8-0773,Equiano-Interesting-8-0773,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,8,1794,title_same
tt_0006,,Equiano-Interesting-9-0776,Equiano-Interesting-9-0776,dean morgan,,Rev. Dean Morgan,Rev. Dean Morgan,Interesting Narrative,9,1794,title_same
tt_0038,,Sancho-Letters-1-0915,Sancho-Letters-1-0915,lady mary scott,,Lady Mary Scott,Lady Mary Scott,Letters,1,1782,title_same
tt_0038,,Sancho-Letters-1-0981,Sancho-Letters-1-0981,lady mary scott,,Lady Mary Scott,Lady Mary Scott,Letters,1,1782,title_same
