misspelling,correction
Reverand,Reverend
Willian,William
Josepfh,Joseph
Abington,Abingdon
Cumblerland,Cumberland
Atikinson,Atkinson
Ashphinshaw,Ashpinshaw
Bently,Bentley
Afflect,Affleck
Thomwas,Thomas
Georege,George
Robeter,Robert
Willaim,William
Rowaland,Rowland
Hertber,Herbert
Thortnton,Thornton
Francies,Francis
Winkinson,Wilkinson
Messers,Messrs
Adkinson,Atkinson
Isacc,Isaac
Darthmouth,Dartmouth
Grosvendor,Grosvenor
Hopetown,Hopetoun
Warnick,Warwick
Wocester,Worcester
Hudersfield,Huddersfield
Northumblerland,Northumberland
Dewsbery,Dewsbury
Newcaztle,Newcastle
Middltetown,Middletown
Philadephia,Philadelphia
Revernd,Reverend
Sire,Sir
Royla,Royal
Colquhoin,Colquhoun
Coulquhoun,Colquhoun
Esp,Esq
Issac,Isaac
Wiliiam,William
Sameul,Samuel
Robet,Robert
Petery,Peter
Ednward,Edward
Goreges,George
Drunnond,Drummond
Leiutenant,Lieutenant
Alexender,Alexander
Racheal,Rachel
Beufort,Beaufort
Carthcart,Cathcart
Ambercrombie,Abercrombie
Wundham,Wyndham
Hanfard,Hansard
Hurkock,Hurlock
Batemean,Bateman
Morthlane,Morthland
Turnbill,Turnbull
Scarbrough,Scarborough
Hammerfley,Hammersley
Hammerfly,Hammersley
Rit,Right
Willia,William
Wincester,Winchester
Archdecon,Archdeacon
Roya,Royal
Wedgewood,Wedgwood
Wedgood,Wedgwood
Kitchenerf,Kitchener
Fletcherff,Fletcher
Philips,Phillips
Kendal,Kendall
Gardner,Gardener
Todway,Tudway
Queensbury,Queensberry
Lovedon,Loveden
Albans,Alban's
Thonrton,Thornton
Thorton,Thornton
Harington,Harrington
New Castle,Newscastle
N. Castle,Newcastle
Baille,Baillie
Bailie,Baillie
Cruickshaanks,Cruickshanks
Cruickshankes,Cruickshanks
Hayfom,Haysom
Jefferys,Jeffreys
Attwood,Atwood
Simco,Simcoe
Willmot,Willmott
Hansheld,Hansfield
Gwinep,Gwinnup
Bothby,Boothby
Asheburne,Ashbourne
Ashburne,Ashbourne
Ashborne,Ashbourne
Gilliefs,Gilliess
Bliffs,Bliss
Thomson,Thompson
Rodda,Roddam
Belfour,Balfour
Chocraine,Cochrane
Baisley,Paisley
M'Intosh,McIntosh
Bouverie,Boverie
Jarrat,Jarratt
Jarret,Jarratt
Cambell,Campbell
Giasgow,Glasgow
ohn,John
Wyndham,Windham
Right on,Right Hon.
Lieu tenant,Lieutenant
B rown,Brown
Jo hn,John
Bogleand,Bogle and
Scottditto,Scott ditto
Brashand,Brash and
Adm iral,Admiral
W illiam,William
Villiam,William
Ceilia,Celia
Hammont,Hammond
Feasherston,Featherston
Metcalft,Metcalf
Martieneau,Martineau
Dayle,Doyle
Coslass,Coslas
Horny,Hornby
Forester,Forster
Hansell,Hansel
Boggs,Bogg
Hogsflesh,Hogflesh
Langworthy,Langworth
Plumtree,Plumptre
Leed,Leeds
Lees,Leeds
Morgann,Morgan
Morgain,Morgan
Benrose,Penrose
Delemain,Delamain
Kowsley,Knowsley
Nickolls,Nicholls
Hornton,Horton
Rotheram,Rotherham
Johnathan,Jonathan
Cristopher,Christopher
Lindly,Lindley
Hornsby,Hornby
Corke,Cork
Tewksbury,Tewkesbury
Thackery,Thackeray
Scratchard,Scratcherd
Richmon,Richmond
Rolland,Rowland
Wauchop,Wauchope
Rachael,Rachel
Mitchael,Michael
Charls,Charles
Craston,Crafton
Pean,Penn
Henrgy,Henry
Ricahrd,Richard
Roget,Roger
Steven,Stephen
Dugland,Dugald
Elphington,Elphinston
Elphingston,Elphinston
Elphonston,Elphinston
Browne,Brown
